startphrase,ending1,ending2,ending3,ending4,label,min_surprisal_gpt2,min_surprisal_t5,min_surprisal_bert
"He looks at her through doleful eyes, and she scrutinizes his features. She","He looks at her through doleful eyes, and she scrutinizes his features. She averts her pensive gaze.","He looks at her through doleful eyes, and she scrutinizes his features. She glances away in the mirror.","He looks at her through doleful eyes, and she scrutinizes his features. She dances on the stage.","He looks at her through doleful eyes, and she scrutinizes his features. She brushes away from him.",3,2,1,3
He wipes his face with a towel. He,He wipes his face with a towel. He runs into the bathroom.,He wipes his face with a towel. He dries his face with a towel.,He wipes his face with a towel. He pushes his way in.,He wipes his face with a towel. He smiles and gives a thumbs up.,4,1,1,4
Someone sneaks up behind someone. Someone,Someone sneaks up behind someone. Someone reacts his head glares.,Someone sneaks up behind someone. Someone opens the door to him.,Someone sneaks up behind someone. Someone strikes the golf ball.,Someone sneaks up behind someone. Someone touches his chest gently.,4,2,3,2
A man is wiping the skiboard. Group of people,A man is wiping the skiboard. Group of people are seated on a field.,A man is wiping the skiboard. Group of people are skiing down the slope.,A man is wiping the skiboard. Group of people are in a lift.,A man is wiping the skiboard. Group of people are pouring out in a man.,2,3,3,3
Woman walks in th sidewalk and get in a saloon. woman sits on a chair in front of a mirror and a woman behind him,Woman walks in th sidewalk and get in a saloon. woman sits on a chair in front of a mirror and a woman behind him brings a flute to her ear.,Woman walks in th sidewalk and get in a saloon. woman sits on a chair in front of a mirror and a woman behind him is cutting her hair.,Woman walks in th sidewalk and get in a saloon. woman sits on a chair in front of a mirror and a woman behind him is laying on a chair.,Woman walks in th sidewalk and get in a saloon. woman sits on a chair in front of a mirror and a woman behind him starts to shave her legs.,2,3,2,3
She kisses his forehead and walks away. She,She kisses his forehead and walks away. She shoots him on the cheek.,She kisses his forehead and walks away. She rubs his smooth cheek.,She kisses his forehead and walks away. She spots a pillow behind them.,She kisses his forehead and walks away. She heads toward the back.,4,4,2,1
Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone,Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone points from another window.,Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone eyes him and smile slightly.,Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone shuts his eyes and reloads.,Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone watches with glistening eyes.,4,4,1,4
"Her eyes still closed, squeezes her sister's hands. Her lips","Her eyes still closed, squeezes her sister's hands. Her lips spread into a sleepy smile.","Her eyes still closed, squeezes her sister's hands. Her lips rest mere inches from him.","Her eyes still closed, squeezes her sister's hands. Her lips spread into a smile.","Her eyes still closed, squeezes her sister's hands. Her lips spread into a sob.",1,3,4,3
She looks up at him admiringly; then to loafers; back to. Someone,She looks up at him admiringly; then to loafers; back to. Someone looks up into the sky.,She looks up at him admiringly; then to loafers; back to. Someone strikes someone's face.,She looks up at him admiringly; then to loafers; back to. Someone goes into the pantry.,She looks up at him admiringly; then to loafers; back to. Someone offers him a bill.,1,3,2,1
She starts to move away. People,She starts to move away. People stand in a doorway.,She starts to move away. People are standing at the entrance.,She starts to move away. People return from her bedroom.,She starts to move away. People are being led in traffic.,2,2,3,2
Someone's gaze is steady. His high white shirt collar and dark coat,Someone's gaze is steady. His high white shirt collar and dark coat are high and warm.,Someone's gaze is steady. His high white shirt collar and dark coat hangs on his wrists.,Someone's gaze is steady. His high white shirt collar and dark coat drops out of view.,Someone's gaze is steady. His high white shirt collar and dark coat is shaven and bald.,1,2,1,1
Someone's gaze is steady. His high white shirt collar and dark coat,Someone's gaze is steady. His high white shirt collar and dark coat hangs on his wrists.,Someone's gaze is steady. His high white shirt collar and dark coat is shaven and bald.,Someone's gaze is steady. His high white shirt collar and dark coat frame his stern features.,Someone's gaze is steady. His high white shirt collar and dark coat drops out of view.,3,1,2,4
"Someone lies with her eyes closed, listening. Wearing a delicate summer dress, someone","Someone lies with her eyes closed, listening. Wearing a delicate summer dress, someone holds up a wine bottle.","Someone lies with her eyes closed, listening. Wearing a delicate summer dress, someone steps up behind her.","Someone lies with her eyes closed, listening. Wearing a delicate summer dress, someone steps into an office.","Someone lies with her eyes closed, listening. Wearing a delicate summer dress, someone grinds on a scooter.",2,2,4,3
"The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he leans elbows to his chair.","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he steps onto the bridge.","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he races to the crowd.","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he extracts his thoughtful gaze.",2,2,4,2
"The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he grabs someone's hand.","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he races to the crowd.","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he leans elbows to his chair.","The captain stops, glances at the lifebelt, then walks off. Knee - deep in water, he extracts his thoughtful gaze.",1,1,4,2
The man kisses the woman. A red - haired woman,The man kisses the woman. A red - haired woman saunters into the room.,The man kisses the woman. A red - haired woman walks next to him and smiles.,The man kisses the woman. A red - haired woman dabs her lip with her sleeve.,The man kisses the woman. A red - haired woman sits and talks to a man.,3,1,1,2
"He turns and swims toward open water. Meanwhile, someone","He turns and swims toward open water. Meanwhile, someone opens a door on top.","He turns and swims toward open water. Meanwhile, someone reigns in the ocean.","He turns and swims toward open water. Meanwhile, someone emerges in a roach dress.","He turns and swims toward open water. Meanwhile, someone drops onto a lower deck.",4,1,2,1
A person is laying down in a chair with their leg up. A woman standing next to her,A person is laying down in a chair with their leg up. A woman standing next to her points at the tattoo.,A person is laying down in a chair with their leg up. A woman standing next to her is watching at the side.,A person is laying down in a chair with their leg up. A woman standing next to her is knitting under the bed.,A person is laying down in a chair with their leg up. A woman standing next to her sits on a couch.,2,4,1,4
A person is laying down in a chair with their leg up. A woman standing next to her,A person is laying down in a chair with their leg up. A woman standing next to her is shaving her let.,A person is laying down in a chair with their leg up. A woman standing next to her is knitting under the bed.,A person is laying down in a chair with their leg up. A woman standing next to her sits on a couch.,A person is laying down in a chair with their leg up. A woman standing next to her points at the tattoo.,1,3,1,3
A woman standing next to her is shaving her let. Another person,A woman standing next to her is shaving her let. Another person is washing the news hair.,A woman standing next to her is shaving her let. Another person tops the ice with chopsticks.,A woman standing next to her is shaving her let. Another person shaves her shoes off.,A woman standing next to her is shaving her let. Another person is holding a blue bucket.,4,4,3,4
"Now, someone hurries to her dad. Someone","Now, someone hurries to her dad. Someone looks up the porch.","Now, someone hurries to her dad. Someone reaches the end of his party.","Now, someone hurries to her dad. Someone picks up the receiver.","Now, someone hurries to her dad. Someone hands her father a radio.",4,3,3,3
"She notices him and beams. Outside, the mustached stranger still","She notices him and beams. Outside, the mustached stranger still approaches the pool table.","She notices him and beams. Outside, the mustached stranger still sprints after the bus.","She notices him and beams. Outside, the mustached stranger still sees him fall through.","She notices him and beams. Outside, the mustached stranger still sways around a closed vault.",2,1,1,1
"Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim nestling down his pale face.","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim tilted over his head.","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim tilted to shade his face.","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim putting out of his jacket.",3,2,2,4
"Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim lowered over his head.","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim nestling down his pale face.","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim tilted over his head.","Later, someone carries a to - go cup of coffee as he crosses a park. As someone and his fan go their separate ways, the mustached stranger remains on his park bench, his head bowed and his fedora brim putting out of his jacket.",1,1,3,4
The guy then begins to smile because the cue ball didn't enter. The opponent takes his turn but the stripe nine does n't enter into the pocket and someone,The guy then begins to smile because the cue ball didn't enter. The opponent takes his turn but the stripe nine does n't enter into the pocket and someone grabs the ball in both hands.,The guy then begins to smile because the cue ball didn't enter. The opponent takes his turn but the stripe nine does n't enter into the pocket and someone beats the other two.,The guy then begins to smile because the cue ball didn't enter. The opponent takes his turn but the stripe nine does n't enter into the pocket and someone goes to briskly takes it off.,The guy then begins to smile because the cue ball didn't enter. The opponent takes his turn but the stripe nine does n't enter into the pocket and someone claps on the right.,2,1,4,1
Someone bestows a badge upon him. It,Someone bestows a badge upon him. It addresses the arriving guard.,Someone bestows a badge upon him. It fetches liquid from it.,Someone bestows a badge upon him. It wears his suit.,Someone bestows a badge upon him. It gives someone one last look.,1,3,1,3
"Someone grabs them both, and they fall backwards to safety. Someone","Someone grabs them both, and they fall backwards to safety. Someone faces someone.","Someone grabs them both, and they fall backwards to safety. Someone stares up at someone.","Someone grabs them both, and they fall backwards to safety. Someone bounces up and down.","Someone grabs them both, and they fall backwards to safety. Someone looks in the rearview mirror.",2,3,1,2
"As a wall of flame appears in front of the herd, someone's horse trips and he is thrown off. Someone","As a wall of flame appears in front of the herd, someone's horse trips and he is thrown off. Someone falls to his knees.","As a wall of flame appears in front of the herd, someone's horse trips and he is thrown off. Someone catches someone's gaze.","As a wall of flame appears in front of the herd, someone's horse trips and he is thrown off. Someone keeps his hands up.","As a wall of flame appears in front of the herd, someone's horse trips and he is thrown off. Someone watches from a high outcrop.",4,1,2,1
"After, the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge. Finally, the man does a free fall off of the bridge and a orange ball","After, the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge. Finally, the man does a free fall off of the bridge and a orange ball comes out behind them.","After, the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge. Finally, the man does a free fall off of the bridge and a orange ball falls to the floor.","After, the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge. Finally, the man does a free fall off of the bridge and a orange ball is thrown to him.","After, the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge. Finally, the man does a free fall off of the bridge and a orange ball falls across the ground.",3,3,2,2
"A man throws a pouch of coins, someone catches it. The siblings","A man throws a pouch of coins, someone catches it. The siblings flutter as he beams.","A man throws a pouch of coins, someone catches it. The siblings walk away from the blaze.","A man throws a pouch of coins, someone catches it. The siblings lock an arm lapel.","A man throws a pouch of coins, someone catches it. The siblings knock down the glasses.",2,2,1,2
It hits the floor with a pop. They,It hits the floor with a pop. They fall to th floor.,It hits the floor with a pop. They lands on the cement team.,It hits the floor with a pop. They knock its doors shut.,It hits the floor with a pop. They continue staring up.,1,4,4,1
Behind someone is people making scary noises. The procession,Behind someone is people making scary noises. The procession stops in front of two cows.,Behind someone is people making scary noises. The procession races back inside the house.,Behind someone is people making scary noises. The procession walks out through the night.,Behind someone is people making scary noises. The procession circles around in the dark.,2,4,4,1
Behind someone is people making scary noises. The procession,Behind someone is people making scary noises. The procession circles around in the dark.,Behind someone is people making scary noises. The procession walks out through the night.,Behind someone is people making scary noises. The procession continues through the house.,Behind someone is people making scary noises. The procession stops in front of two cows.,3,3,3,3
The lights are all out. Someone opens the door and together they,The lights are all out. Someone opens the door and together they walk down a hallway.,The lights are all out. Someone opens the door and together they walk down the stairs.,The lights are all out. Someone opens the door and together they share a slack - jawed glance.,The lights are all out. Someone opens the door and together they peer into the darkness.,4,2,4,2
They lock lips in a breathless kiss. Someone,They lock lips in a breathless kiss. Someone gobbles it with ammunition.,They lock lips in a breathless kiss. Someone pulls away with a smile.,They lock lips in a breathless kiss. Someone lowers his eyes firmly.,They lock lips in a breathless kiss. Someone leaves the car with his dogs.,2,2,1,2
He tries to toss it in the pan. Half of it,He tries to toss it in the pan. Half of it is shoved into his mouth.,He tries to toss it in the pan. Half of it go up and he takes it.,He tries to toss it in the pan. Half of it falls to the floor.,He tries to toss it in the pan. Half of it rolls out the bat.,3,3,4,3
"Someone leans into the bomb, her arms stretching toward the wire. The tip of her scissors","Someone leans into the bomb, her arms stretching toward the wire. The tip of her scissors is set on someone's toes.","Someone leans into the bomb, her arms stretching toward the wire. The tip of her scissors clamps down over her face.","Someone leans into the bomb, her arms stretching toward the wire. The tip of her scissors stop a few inches away.","Someone leans into the bomb, her arms stretching toward the wire. The tip of her scissors glows on someone's fbi eye.",3,2,3,3
"Walking away, someone bites her lip. She","Walking away, someone bites her lip. She reads spider powers diary.","Walking away, someone bites her lip. She squeezes her mouth shut.","Walking away, someone bites her lip. She hesitantly beats the sloop.","Walking away, someone bites her lip. She turns back with a warm smirk.",4,2,1,1
A man is in a boat in the water. a loaf of bread is thrown to fishes and their,A man is in a boat in the water. a loaf of bread is thrown to fishes and their cubes to use water.,A man is in a boat in the water. a loaf of bread is thrown to fishes and their are fighting to eat it.,A man is in a boat in the water. a loaf of bread is thrown to fishes and their dogs in a tube.,A man is in a boat in the water. a loaf of bread is thrown to fishes and their then need water running.,2,3,4,3
They wave excitedly at the occupants. Four children,They wave excitedly at the occupants. Four children stand behind it with mast.,They wave excitedly at the occupants. Four children emerge first from the cab.,They wave excitedly at the occupants. Four children swim away in unison.,They wave excitedly at the occupants. Four children stand with their heads hung.,2,3,3,4
"Now, they enter a motel room. Someone","Now, they enter a motel room. Someone turns to watch him play.","Now, they enter a motel room. Someone points the gun at someone.","Now, they enter a motel room. Someone sets down his wallet.","Now, they enter a motel room. Someone sits at her laptop.",3,2,3,2
He presents a framed arrest report. He,He presents a framed arrest report. He stares at the display.,He presents a framed arrest report. He starts to have soup.,He presents a framed arrest report. He holds it for money.,He presents a framed arrest report. He eyes the text image.,1,1,1,1
A video of water polo is shown in the gym. A few people watch and the ball,A video of water polo is shown in the gym. A few people watch and the ball rolls around the island.,A video of water polo is shown in the gym. A few people watch and the ball drops to the ground.,A video of water polo is shown in the gym. A few people watch and the ball goes across the water.,A video of water polo is shown in the gym. A few people watch and the ball are shown for sport.,3,2,1,2
A video of water polo is shown in the gym. A few people watch and the ball,A video of water polo is shown in the gym. A few people watch and the ball rolls around the island.,A video of water polo is shown in the gym. A few people watch and the ball drops to the ground.,A video of water polo is shown in the gym. A few people watch and the ball goes back and forth.,A video of water polo is shown in the gym. A few people watch and the ball are shown for sport.,3,2,1,2
A harp is playing by itself. They,A harp is playing by itself. They throw it in the back.,A harp is playing by itself. They see something as he twirls.,A harp is playing by itself. They finish playing the violin.,A harp is playing by itself. They pokes holes on top.,3,1,3,1
A harp is playing by itself. They,A harp is playing by itself. They take off the cloak.,A harp is playing by itself. They see something as he twirls.,A harp is playing by itself. They pokes holes on top.,A harp is playing by itself. They are playing beach soccer.,1,1,4,1
"Now, someone holds a bamboo staff across his shoulders. In his room, he","Now, someone holds a bamboo staff across his shoulders. In his room, he poses at a mirror.","Now, someone holds a bamboo staff across his shoulders. In his room, he wears his white flaxen dress.","Now, someone holds a bamboo staff across his shoulders. In his room, he searches his own clothes.","Now, someone holds a bamboo staff across his shoulders. In his room, he finds someone playing piano.",1,1,4,4
"Now, someone holds a bamboo staff across his shoulders. In his room, he","Now, someone holds a bamboo staff across his shoulders. In his room, he finds someone playing piano.","Now, someone holds a bamboo staff across his shoulders. In his room, he wears his white flaxen dress.","Now, someone holds a bamboo staff across his shoulders. In his room, he searches his own clothes.","Now, someone holds a bamboo staff across his shoulders. In his room, he stands up from a chair.",4,4,1,4
Someone remembers someone's phone call. The call,Someone remembers someone's phone call. The call has been quiet for a moment.,Someone remembers someone's phone call. The call is actually coming down.,Someone remembers someone's phone call. The call cuts off number 1.,Someone remembers someone's phone call. The call is poured into her open palm.,1,2,3,3
"Someone gazes after him worriedly. Later, she, someone, and someone","Someone gazes after him worriedly. Later, she, someone, and someone ride a reproachful program.","Someone gazes after him worriedly. Later, she, someone, and someone walk over to the alcove.","Someone gazes after him worriedly. Later, she, someone, and someone stride through a cemetery.","Someone gazes after him worriedly. Later, she, someone, and someone peer through a desolate sky.",2,2,1,2
We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame is turned from lights.,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame turns to the fire.,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame runs to the hole.,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame burns through the storm.,4,2,3,4
We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame runs to the hole.,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame is turned from lights.,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame sits on he sawdust.,We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame turns to the fire.,3,4,3,1
Someone backs out of his parking spot and speeds away from the motel. Someone,Someone backs out of his parking spot and speeds away from the motel. Someone makes a highway call.,Someone backs out of his parking spot and speeds away from the motel. Someone follows them into the salon.,Someone backs out of his parking spot and speeds away from the motel. Someone comes up on the van.,Someone backs out of his parking spot and speeds away from the motel. Someone opens the fridge and exits.,3,3,1,2
Someone backs out of his parking spot and speeds away from the motel. Someone,Someone backs out of his parking spot and speeds away from the motel. Someone pulls up to a house.,Someone backs out of his parking spot and speeds away from the motel. Someone makes a highway call.,Someone backs out of his parking spot and speeds away from the motel. Someone opens the fridge and exits.,Someone backs out of his parking spot and speeds away from the motel. Someone follows them into the salon.,1,1,2,4
Someone sits down between people. Someone,Someone sits down between people. Someone looks oddly at someone.,Someone sits down between people. Someone watches someone walk away.,"Someone sits down between people. Someone , with his hands.",Someone sits down between people. Someone starts to record them.,1,2,3,2
Parsley is added to the sausage. White wine,Parsley is added to the sausage. White wine is put directly on the stove.,Parsley is added to the sausage. White wine is poured across the ice.,Parsley is added to the sausage. White wine is poured onto a plate.,Parsley is added to the sausage. White wine is added to the mixture.,4,4,2,4
"Someone reclines on cushions as people dance in the ballroom, which is lit by hundreds of candles. Someone spins around and faces someone, and they","Someone reclines on cushions as people dance in the ballroom, which is lit by hundreds of candles. Someone spins around and faces someone, and they turn toward the stage.","Someone reclines on cushions as people dance in the ballroom, which is lit by hundreds of candles. Someone spins around and faces someone, and they share a stubborn look.","Someone reclines on cushions as people dance in the ballroom, which is lit by hundreds of candles. Someone spins around and faces someone, and they give a passionate kiss.","Someone reclines on cushions as people dance in the ballroom, which is lit by hundreds of candles. Someone spins around and faces someone, and they enter a crowded room.",3,1,2,1
Several rafters are shown going down waterfalls. They,Several rafters are shown going down waterfalls. They get to get in the water.,Several rafters are shown going down waterfalls. They have things under the water.,Several rafters are shown going down waterfalls. They paddle through a river.,Several rafters are shown going down waterfalls. They are pulled out of the water.,3,4,3,4
"Joining the other slow dancers, they clasp hands. Someone wraps his arm around someone's waist, and they","Joining the other slow dancers, they clasp hands. Someone wraps his arm around someone's waist, and they step below calm sunlight.","Joining the other slow dancers, they clasp hands. Someone wraps his arm around someone's waist, and they share a soft smile.","Joining the other slow dancers, they clasp hands. Someone wraps his arm around someone's waist, and they run toward the courtroom.","Joining the other slow dancers, they clasp hands. Someone wraps his arm around someone's waist, and they play arm - to - shoulder.",2,2,1,3
A baby is standing in a kitchen. He,A baby is standing in a kitchen. He is drinking a cup of coffee.,A baby is standing in a kitchen. He is reading the dishes.,A baby is standing in a kitchen. He is holding a baby.,A baby is standing in a kitchen. He adds oil to a pan.,3,3,2,3
"Looking over her shoulder, she spies Wennerstrom getting out. As he takes out a cellphone, someone","Looking over her shoulder, she spies Wennerstrom getting out. As he takes out a cellphone, someone glances across the room.","Looking over her shoulder, she spies Wennerstrom getting out. As he takes out a cellphone, someone folds his makeup down.","Looking over her shoulder, she spies Wennerstrom getting out. As he takes out a cellphone, someone writes on the journal.","Looking over her shoulder, she spies Wennerstrom getting out. As he takes out a cellphone, someone enters a resigned sneer.",1,1,2,3
He stops and glances around. A chair,He stops and glances around. A chair shows someone near a window.,He stops and glances around. A chair sits at the computer.,He stops and glances around. A chair is sitting next to him.,He stops and glances around. A chair is shown in arm tape.,2,3,2,3
"As he slowly makes a fist, a rusty car behind him implodes. Later in his bedroom, he","As he slowly makes a fist, a rusty car behind him implodes. Later in his bedroom, he finds someone having dinner.","As he slowly makes a fist, a rusty car behind him implodes. Later in his bedroom, he sits in the living room.","As he slowly makes a fist, a rusty car behind him implodes. Later in his bedroom, he sits at his computer.","As he slowly makes a fist, a rusty car behind him implodes. Later in his bedroom, he finds another sizable box.",3,2,1,3
