,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
10,q,I have a younger brother. I,have flown farther than he has.,will be forty when he is thirty.,am a mother of three alpacas.,will be thirty when he is forty.,2,4,1,"['has', 'thirty', 'alpacas', 'forty']",4,4,"[' flown', ' forty', ' al', ' thirty']",4,2,"['flown', 'he', 'alpacas', 'he']"
11,o,Paul was riding an elephant and accidentally fell off.  Paul,had a trunk and four legs.,never left the elephant's back.,vowed to never ride an elephant again.,asked the elephant to order him two milkshakes.,3,3,2,"['legs', 'back', 'again', 'milkshakes']",2,2,"[' trunk', ' never', ' Paul', ' Paul']",1,1,"['a', 'elephants', 'vowed', 'milkshakes']"
12,p,I go to Northwestern. I,"think the directions are north, then west.",study computer science.,dress warmly.,"say ""go cats"" first thing in the morning.",2,1,1,"['west', 'science', 'warmly', 'cats']",2,2,"[' directions', ' study', ' dress', ' cats']",2,2,"['think', 'computer', 'warmly', 'cats']"
13,o,I have a cucumber and a cactus. I will,sit on the cucumber.,eat the cucumber.,eat the cactus.,sit on the cactus.,2,4,4,"['cucumber', 'cucumber', 'cactus', 'cactus']",2,2,"[' sit', ' the', ' the', ' sit']",1,1,"['sit', 'eat', 'cactus', 'cactus']"
14,o,"I have a strawberry, hammer, grass, and boyfriend. I will eat",the boyfriend.,the strawberry.,the hammer.,the grass.,2,2,2,"['boyfriend', 'strawberry', 'hammer', 'grass']",2,2,"[' boyfriend', ' strawberry', ' hammer', ' grass']",2,2,"['boyfriend', 'the', 'hammer', 'grass']"
15,o,A man sits under an umbrella on the beach.  He,puts on his helmet and returns to the field.,concludes his presentation with a Q and A session.,reaches over and takes a sip of his pina colada.,rows the oars aggressively.,3,1,1,"['field', 'session', 'colada', 'oars']",3,3,"[' He', ' concludes', ' He', ' rows']",1,1,"['field', 'concludes', 'colada', 'oars']"
16,q,A woman is walking two dogs and carrying a cat on her way to her car.  She,puts all three animals in the back seat before driving off.,puts all four animals in the back seat before driving off.,puts both animals in the back seat before driving off.,puts all nine animals in the back seat before driving off.,1,3,3,"['off', 'off', 'off', 'off']",1,1,"[' She', ' She', ' She', ' She']",2,2,"['off', 'off', 'animals', 'nine']"
17,o,Bach Goldberg Variations were playing in the room. The,music was pleasant to both heart and mind .,clouds are usually in a variety of shapes .,noise was unbearably loud .,variations in play style of the athletes were interesting to observe .,1,1,1,"['pleasant', 'clouds', 'unbearably', 'athletes']",3,3,"[' heart', ' clouds', ' unb', ' variations']",1,1,"['pleasant', 'a', 'unbearably', 'athletes']"
18,o,It is a cold winter day. I will,bask in the sun.,wear a large down parka.,have cereal for breakfast.,imagine the infinite possibilities of the day.,2,4,4,"['bask', 'parka', 'breakfast', 'day']",1,2,"[' bask', ' park', ' cereal', ' infinite']",4,4,"['bask', 'parka', 'cereal', 'imagine']"
19,o,A man is flying a dragon-shaped kite.  He,draws his sword and begins to attack the dragon.,puts mustard on the hot dog and hands it to the customer.,finishes mowing and begins weeding the garden.,works the lines to make the dragon do long loops through the air.,4,1,4,"['dragon', 'customer', 'weeding', 'dragon']",1,4,"[' He', ' mustard', ' we', ' long']",1,1,"['draws', 'mustard', 'mowing', 'loops']"
20,p,A clown is fashioning animals from long balloons.  He,releases the animals into their natural habitat.,makes a giraffe and hands it to a child.,yells out for his second in command to pilot the battleship around the obstacle.,releases the balloon and it flies high into the air.,2,4,4,"['habitat', 'giraffe', 'battleship', 'balloon']",2,2,"[' He', ' hands', ' He', ' He']",1,1,"['releases', 'giraffe', 'yells', 'flies']"
21,o,A man is speaking to a group of executives in a boardroom.  He,makes balloon animals and gives them to each executive.,gestures to a slide showing the change in sales over time.,types rapidly on his laptop without saying a word.,climbs into the treehouse.,2,3,3,"['executive', 'time', 'word', 'treehouse']",3,2,"[' balloon', ' He', ' types', ' climbs']",1,3,"['balloon', 'gestures', 'types', 'treehouse']"
22,o,Paul cuts a piece of cake in half.  He,is happy that he destroyed the piece of cake.,gives a piece to each of his two kids.,realizes the piece of cake is now useless.,then merges the two halves into a whole piece indistinguishable from the one he started with.,2,1,1,"['cake', 'kids', 'useless', 'indistinguishable']",4,1,"[' destroyed', ' He', ' He', ' indistinguishable']",1,1,"['destroyed', 'a', 'realizes', 'indistinguishable']"
23,o,Typhoid fever ravaged the village. The villagers,were feeling better than ever.,recommended taking antibiotics and drinking the same fluids used for handwashing.,responded by sarcastically mocking the naysayers.,felt there was no hope.,4,4,4,"['ever', 'handwashing', 'naysayers', 'hope']",4,4,"[' feeling', ' recommended', ' sarcast', ' there']",1,1,"['feeling', 'handwashing', 'naysayers', 'hope']"
24,o,I have a hard time making friends. I think it is because I,lack social skills.,care about the environment.,have a hard time finding dogs who share my personality.,live in Chicago.,1,3,4,"['skills', 'environment', 'dogs', 'chicago']",1,4,"[' lack', ' care', ' dogs', ' Chicago']",2,1,"['social', 'environment', 'a', 'Chicago']"
25,p,Secret Hitler is my favorite board game. I,enjoy playing it with a group of 8-10 friends.,don't like it as much as Avalon.,am very left-leaning politically.,visited Germany last summer.,1,1,4,"['810', 'dont', 'leftleaning', 'summer']",1,1,"[' 8', ' Avalon', ' left', ' visited']",4,4,"['810', 'Avalon', 'leftleaning', 'Germany']"
26,o,A man is walking across the green toward his golf ball.  He,draws a diagram showing how the system will perform when deployed.,throws the frisbee to his partner.,squats down and tries to gauge the break on his putt.,lays down on the green and tries to get some sleep.,3,4,1,"['deployed', 'frisbee', 'putt', 'sleep']",4,1,"[' He', ' fr', ' He', ' He']",1,1,"['a', 'frisbee', 'squats', 'lays']"
27,o,George's car is the color of the midday sky.  It's,a majestic shade of orange.,a majestic shade of pink.,a majestic shade of red.,a majestic shade of blue.,4,4,4,"['orange', 'majestic', 'majestic', 'majestic']",4,1,"[' majestic', ' majestic', ' majestic', ' majestic']",4,2,"['a', 'a', 'a', 'a']"
28,o,My favorite color is the color of elephants. My favorite color is,gray,blue,black,red,1,4,4,"['gray', 'blue', 'black', 'red']",2,2,"[' gray', ' blue', ' black', ' red']",2,2,"['gray', 'blue', 'black', 'red']"
29,o,My favorite color is the color of plants. My favorite color is,blue,purple,red,green,4,3,3,"['blue', 'purple', 'red', 'green']",2,4,"[' blue', ' purple', ' red', ' green']",4,4,"['blue', 'purple', 'red', 'green']"
30,o,My car shines with the same color as the ocean. My car is,green,blue,orange,purple,2,2,2,"['green', 'blue', 'orange', 'purple']",4,2,"[' green', ' blue', ' orange', ' purple']",2,2,"['green', 'blue', 'orange', 'purple']"
31,o,The sky is,red,green,blue,orange,3,3,3,"['red', 'green', 'blue', 'orange']",3,3,"[' red', ' green', ' blue', ' orange']",3,3,"['red', 'green', 'blue', 'orange']"
32,o,"After studying all night, a group of students were preparing to",take a test,join a cult,sprint,fly out the window,1,4,4,"['test', 'cult', 'sprint', 'window']",1,1,"[' take', ' cult', ' sprint', ' fly']",4,4,"['a', 'cult', 'sprint', 'window']"
33,o,I am falling behind in my classes. I should,go to office hours.,feel jealous of my success.,practice on my balance beam.,take a huge chug of vodka.,1,2,2,"['hours', 'success', 'beam', 'chug']",1,2,"[' office', ' jealous', ' practice', ' ch']",2,2,"['hours', 'success', 'beam', 'chug']"
34,o,I feel conflicted between taking my exam honestly and cheating on it. I should,root for the better team.,consider the consequences of academic dishonesty.,eat a big meal before the exam.,tell the professor about my dilemma.,2,3,3,"['team', 'dishonesty', 'exam', 'dilemma']",2,4,"[' root', ' academic', ' eat', ' dilemma']",4,4,"['team', 'dishonesty', 'eat', 'dilemma']"
35,o,Today I was asked whether I would kill one man to save ten. I said,"I would not kill the man, because he has been kind to me.","I would kill the man, because poverty is a big problem in the world.","I would not kill the man, because the ends do not justify the means.","I would kill the man, because when life gives you lemons, make lemonade.",3,2,2,"['me', 'poverty', 'means', 'lemonade']",3,1,"[' kind', ' poverty', ' ends', ' life']",2,3,"['he', 'a', 'ends', 'lemonade']"
36,o,A boy is holding a pack of baseball cards.  He,uses a microscope to investigate cultures on a slide.,likes them because he enjoys following basketball.,puts the pack into boiling water in order to preserve the quality of the cards.,opens the pack and begins looking through the cards.,4,3,3,"['slide', 'basketball', 'cards', 'cards']",4,4,"[' cultures', ' He', ' boiling', ' opens']",3,3,"['cultures', 'enjoys', 'quality', 'looking']"
37,o,A man is sitting on a park bench peeling a banana.  He,throws the peel hundreds of yards away.,re-affixes the peel and returns the banana to the grocery store.,tosses the peel into the trash can and begins eating.,eats the peel and sets the banana on fire.,3,4,1,"['away', 'reaffixes', 'tosses', 'fire']",2,2,"[' hundreds', ' re', ' He', ' He']",4,1,"['throws', 'reaffixes', 'tosses', 'eats']"
38,q,A man is buying large numbers of bananas and pears.  He,throws the frisbee over the fence.,is not buying fruit.,puts exactly one banana and one pear into his cart and walks away.,puts dozens of both kinds of fruit into his cart.,4,3,3,"['frisbee', 'fruit', 'away', 'cart']",2,2,"[' He', ' fruit', ' exactly', ' He']",2,2,"['frisbee', 'fruit', 'pear', 'dozens']"
39,o,A car has been completely crushed by a large tree.  The car,still runs great.,is more valuable than before.,"makes a complete stop at the stop sign, then accelerates away.",may never drive again.,4,3,2,"['great', 'before', 'away', 'again']",3,4,"[' great', ' valuable', ' makes', ' drive']",2,4,"['runs', 'before', 'accelerates', 'drive']"
40,o,"John hates to see his patients in pain during surgery. So, he",stitches them up hastily.,murders them.,gives them anesthetic.,kisses them.,3,1,2,"['hastily', 'them', 'anesthetic', 'them']",2,3,"[' hastily', ' murders', 'esthetic', ' kisses']",2,2,"['hastily', 'murders', 'anesthetic', 'kisses']"
41,o,A jogger noticed someone calling for help on their daily workout. The Jogger,"leaped into action, hoping to help.","leaped into action, knowing the curse would ware off soon.","leaped into action, dancing their problems away.","leaped into action, running away.",1,4,1,"['help', 'soon', 'away', 'away']",1,1,"[' le', ' ware', ' problems', ' le']",1,3,"['leaped', 'leaped', 'leaped', 'leaped']"
42,o,"Sarah is pretty ugly, so she decided to",put on more makeup.,picked her nose.,paint her water bottle a shade of pink.,wash off her makeup.,1,3,3,"['makeup', 'nose', 'pink', 'makeup']",1,1,"[' more', ' picked', ' water', ' wash']",4,1,"['more', 'picked', 'a', 'wash']"
43,o,The magician was ready to reveal their next illusion. The magician,through a series of events made an audience member vanish.,read out loud peoples credit card info.,knew that no one would care what they did.,gazed upon the flowers on their suit.,1,3,3,"['vanish', 'info', 'did', 'suit']",3,3,"[' through', ' peoples', ' no', ' suit']",3,3,"['vanish', 'peoples', 'care', 'gazed']"
44,o,The student was looking for a new way to help them fall asleep. The student,decided counting sheep was the way to go.,failed their most recent midterm.,was raised by a mathematician and a priest.,graduated their classes with high honors.,1,1,1,"['go', 'midterm', 'priest', 'honors']",1,2,"[' counting', ' failed', ' mathematician', ' graduated']",1,4,"['sheep', 'midterm', 'mathematician', 'honors']"
45,o,We realized that the paper this morning was full of old uninteresting news stories. We decided to,scrutinize it to every last detail.,throw it away.,frame it to the living room wall.,fold it a few times.,2,3,2,"['scrutinize', 'away', 'wall', 'times']",2,2,"[' every', ' throw', ' frame', ' fold']",2,2,"['scrutinize', 'away', 'frame', 'a']"
46,o,The farmer needed help with his taxes. The farmer,decided to hire an accountant.,"fed his cows first, chickens second.","really enjoyed his life on the farm, tending the livestock.",ate corn and wheat products.,1,3,3,"['accountant', 'second', 'livestock', 'products']",1,1,"[' decided', ' chickens', ' tending', ' ate']",1,1,"['decided', 'chickens', 'tending', 'ate']"
47,o,"We needed a good estimate for the height of the tree, so we",chopped it down.,had a picnic under the tree instead.,used a ruler to tap it a few times.,measured the length of its shadow.,4,4,4,"['down', 'instead', 'times', 'shadow']",1,4,"[' chopped', ' picnic', ' tap', ' shadow']",1,4,"['chopped', 'a', 'tap', 'shadow']"
48,o,The pirate needed a worthy animal companion. The pirate,decided to give up his life of theft.,was attacked by parrots.,lost his favorite eye patch and yelled at the sea.,"took his gold doubloons, and bought a dog.",4,1,3,"['theft', 'parrots', 'sea', 'doubloons']",1,1,"[' decided', ' par', ' yelled', ' dou']",1,1,"['theft', 'parrots', 'yelled', 'doubloons']"
49,o,The plumber started couples therapy last month. The plumber,really wants things to work out with his life partner.,fixed himself a nice gin and tonic.,decided to go expand beyond plumbing and become an electrician.,decided that he should shower more.,1,1,2,"['partner', 'tonic', 'electrician', 'more']",1,1,"[' really', ' gin', ' expand', ' shower']",1,1,"['partner', 'gin', 'expand', 'he']"
50,o,The politician really wanted to win their campaign for governor. The politician,took bribes and attacked people physically.,talked frankly and honestly about their love of financial meltdowns.,took counsel from professional advisers.,committed them self to helping other people steal from taxpayers.,3,1,3,"['physically', 'meltdowns', 'advisers', 'taxpayers']",2,1,"[' physically', ' melt', ' professional', ' steal']",2,3,"['bribes', 'meltdowns', 'advisers', 'taxpayers']"
51,o,The prisoner decided to make his great escape. The prisoner,broke into a song and dance routine.,disguised himself as a guard and fled the prison.,took control of the prison and decided to rule it forever.,"waited until 9 months for his sentence to be over, then went home.",2,2,2,"['routine', 'prison', 'forever', 'home']",2,3,"[' song', ' disguised', ' rule', ' 9']",3,3,"['a', 'disguised', 'forever', 'waited']"
52,o,The baker needed to decorate their cake. The baker,knew the customer wanted a creative design.,excelled at making bread and cupcakes.,fought their sister over leftover pink frosting and chocolate.,whipped up a batch of sugar cookies.,1,4,1,"['design', 'cupcakes', 'leftover', 'cookies']",2,1,"[' creative', ' exce', ' fought', ' whipped']",1,1,"['a', 'excelled', 'fought', 'whipped']"
53,o,The florist needed to find a new supplier of daisies. The florist,picked sunflowers on their walk home.,sold sophisticated floral arrangements  in her store.,took a trip to Florida.,used the phone book to find some new contact information.,4,4,3,"['sunflowers', 'store', 'florida', 'information']",3,3,"[' sun', ' ', ' Florida', ' contact']",4,4,"['sunflowers', 'sophisticated', 'a', 'book']"
54,o,The cat needed some alone time from their owner. The cat,"would meow constantly, begging for attention.",enjoyed eating fish and smelling catnip.,would hiss anytime a dog would pass by them.,would leave any room their owner would enter.,4,3,3,"['meow', 'catnip', 'them', 'enter']",4,4,"[' me', ' smelling', ' anytime', ' any']",4,4,"['meow', 'catnip', 'hiss', 'enter']"
55,o,The writer needed to find a quiet place to work. The writer,loved playing hide and seek.,knew they could collect their thoughts better in silence.,wrote a lot of powerful tweets on twitter.,enjoyed answering questions about their fiction.,2,1,1,"['loved', 'silence', 'tweets', 'fiction']",1,1,"[' loved', ' collect', ' powerful', ' enjoyed']",2,2,"['seek', 'collect', 'a', 'enjoyed']"
56,o,The chef wanted to make a Thanksgiving feast. The Chef,"hated making Thanksgiving foods, refusing to make Turkey or Pie.",had a passion for killing turkeys.,instead played the movie Ratatouille .,worked very hard to prepare a meal his family would love.,4,4,1,"['pie', 'turkeys', 'ratatouille', 'love']",4,4,"[' refusing', ' killing', ' instead', ' his']",4,4,"['refusing', 'a', 'Ratatouille', 'a']"
57,o,The yoga instructor wanted to increase attendance for their classes. The yoga instructor,offered free sessions to peak peoples interests.,stopped teaching yoga.,threw yoga balls at anyone who challenged her creative spirit.,balanced work life with her personal life.,1,3,4,"['interests', 'yoga', 'spirit', 'life']",2,2,"[' peak', ' stopped', ' creative', ' balanced']",4,2,"['peoples', 'stopped', 'threw', 'balanced']"
58,p,The juggler knew that polyamory was not for them. The juggler,juggled frequently at a local circus.,could no longer juggle three lovers.,could juggle chainsaws.,was also an acrobat.,2,2,2,"['juggled', 'juggle', 'chainsaws', 'acrobat']",4,4,"[' jugg', ' jugg', ' chains', ' ac']",4,4,"['juggled', 'juggle', 'juggle', 'acrobat']"
59,o,A pinata was hung outside for several kids to hit it with a stick. The pinata,was filled with all the candy the parents could find.,"could talk, amazing the children.","was filled with bees, which stung the kids.","was filled with pills, as a very sick joke.",1,3,3,"['find', 'children', 'kids', 'joke']",3,1,"[' all', ' amazing', ' bees', ' pills']",1,1,"['parents', 'amazing', 'stung', 'pills']"
60,o,A birthday card was left inside the man's cubicle. The birthday card,"read ""wow, wasn't Happy Death Day an interesting movie? It's so good and entertaining""","read ""Happy Birthday John! Isn't funny how a year has passed and your still single? Anyway, your'e alone!""","read ""The company is making me to give you a Birthday Card, I hope your happy""","read ""Happy Birthday Casey! I really value our friendship!!""",4,3,3,"['wasnt', 'isnt', 'happy', 'casey']",3,3,"[' Happy', ' funny', ' company', ' Casey']",3,3,"['wow', 'Isnt', 'a', 'Casey']"
61,o,A hoarder through therapy realized that they needed to change their lifestyle. The hoarder,continued hoarding because it was what was most natural to them.,fixed themselves a good drink from their collection of 80's discontinued sodas.,got rid of anything they did not need in their home.,decided to set their house on fire for a fresh start.,3,3,3,"['hoarding', 'sodas', 'home', 'start']",4,3,"[' ho', ' discontinued', ' anything', ' fresh']",3,3,"['hoarding', '80s', 'anything', 'a']"
62,o,The librarian needed a way to organize their books. The librarian,decided to use the dewey decimal system.,pleaded with children in the library to be quiet.,provided books to children at a school.,read some of their favorite books for fun.,1,4,4,"['system', 'quiet', 'school', 'fun']",2,4,"[' decimal', ' pleaded', ' provided', ' read']",4,4,"['dewey', 'pleaded', 'a', 'read']"
63,o,The printer had received several print commands but had completely run out of ink. The printer,"was over three years old, with over 20,000 papers printed.",had worked wonders in the past on massive printing requests and continued doing so now.,"needed to be attended to, if it was going to complete the requests sent to it.",continued printing papers with vibrant color.,3,3,4,"['printed', 'now', 'it', 'color']",1,1,"[' over', ' massive', ' attended', ' vibrant']",1,4,"['20000', 'wonders', 'if', 'papers']"
64,o,The vegetarian decided cut off any animal products from their meals. The vegetarian,"will continue to eat milk, cheese and eggs, however.",can now be considered vegan.,enjoys eating the occasional pulled pork sandwich.,will regret their life choices as meat is very tasty.,2,1,1,"['however', 'vegan', 'sandwich', 'tasty']",1,2,"[' milk', ' can', ' enjoys', ' regret']",2,2,"['eat', 'considered', 'enjoys', 'life']"
65,o,The man is planning a surprise party for his friend. He,will sleep for a long time,will cook dinner and invite friends,will take his dog for a walk,will take his parents to temple.,2,3,3,"['time', 'friends', 'walk', 'temple']",3,3,"[' sleep', ' cook', ' dog', ' temple']",2,2,"['a', 'invite', 'a', 'temple']"
66,o,The cop found two students smoking weed outside a school. The cop,ran away from them as fast has he could.,"sold them drugs, such as LSD and Heroine.",had to give them a ticket and warned them of possible jail time.,decided to light a cigarette with them.,3,4,4,"['has', 'lsd', 'time', 'them']",3,3,"[' has', 'ine', ' warned', ' light']",3,4,"['has', 'LSD', 'a', 'cigarette']"
67,o,The father denounced his son for his misdeeds. The son,took his family out for dinner,did not understand the probability theory,apologized for his mistake,lived happily ever after,3,1,1,"['dinner', 'theory', 'mistake', 'after']",3,1,"[' took', ' probability', ' mistake', ' lived']",1,1,"['family', 'probability', 'apologized', 'lived']"
68,o,A tiger is walking excitedly within a glass cage as people look on.  The tiger,is sound asleep.,paces back and forth nearby the glass.,turns left at the intersection.,has bright red plumage.,2,3,3,"['asleep', 'glass', 'intersection', 'plumage']",2,3,"[' sound', ' nearby', ' left', ' plum']",3,3,"['sound', 'paces', 'intersection', 'plumage']"
69,o,The wheels of the airplane hit the ground with a jolt. The captain,sings a song,"says, “welcome to Atlanta”",has landed the plane,dies in the collision,3,4,4,"['song', 'atlanta ”', 'plane', 'collision']",3,3,"[' sings', ' �', ' has', ' dies']",4,1,"['a', '“welcome', 'landed', 'dies']"
70,o,There is a cat sitting by the window. The cat,is bouncing up and down.,is looking outside wistfully.,smells terrible.,morphs into a dog who looks outside.,2,1,1,"['bouncing', 'wistfully', 'terrible', 'morphs']",1,3,"[' bouncing', ' w', ' smells', ' morph']",4,3,"['bouncing', 'wistfully', 'smells', 'morphs']"
71,o,The dog eats a lot. The dog,sleeps a lot.,figures out where the bed is.,cries a lot.,has been gaining some weight.,4,2,1,"['lot', 'is', 'lot', 'weight']",1,1,"[' sleeps', ' figures', ' cries', ' gaining']",2,2,"['sleeps', 'figures', 'cries', 'gaining']"
72,r,A man cutting cake for his daughter. The man,wishes his son a happy birthday.,sits by the window.,wishes his daughter a happy birthday.,goes to the store to buy cake.,3,3,3,"['birthday', 'sits', 'birthday', 'cake']",4,4,"[' wishes', ' sits', ' wishes', ' goes']",4,4,"['a', 'sits', 'a', 'buy']"
73,p,The man is at the podium of a spelling  bee. The man,kills all the bees.,presents the prize.,gives honey to all the children.,loves to eat honey.,2,3,3,"['bees', 'presents', 'honey', 'honey']",1,4,"[' kills', ' presents', ' honey', ' loves']",3,2,"['bees', 'presents', 'honey', 'eat']"
74,o,There is a long line outside the club. The bouncer,is completely inebriated.,is waiting in line to enter the club.,is sleeping very peacefully.,is standing guard by the door.,4,2,4,"['inebriated', 'club', 'peacefully', 'door']",2,2,"[' completely', ' enter', ' sleeping', ' guard']",2,2,"['inebriated', 'line', 'peacefully', 'guard']"
75,o,There is a line outside of best buy. The people,are trying to find the way home.,are enjoying a nice steak that is on sale today.,are waiting to shop for some sale items.,are attending a lecture at school.,3,2,4,"['home', 'today', 'items', 'school']",1,1,"[' way', ' enjoying', ' sale', ' attending']",1,1,"['home', 'a', 'sale', 'a']"
76,o,The agent pulls out a gun. The agent,shoots the transgressor.,eats the gun.,pulls out a rabbit out of his hat.,shoots photos of his wife.,1,3,2,"['transgressor', 'gun', 'hat', 'wife']",3,2,"[' transgress', ' eats', ' rabbit', ' photos']",4,4,"['transgressor', 'eats', 'hat', 'shoots']"
77,o,The man enter his house. The man,can't find the keys to unlock the door.,goes to school at his university.,eats the garbage.,takes his shoes off.,4,1,3,"['cant', 'university', 'garbage', 'off']",4,4,"[' can', ' school', ' eats', ' takes']",2,4,"['cant', 'university', 'eats', 'off']"
78,o,The magician is performing on stage. The magician,attends school to learn magic.,is training for a marathon in magicville.,pulls the cat out of a bag.,is eating dinner with his friend.,3,4,4,"['magic', 'magicville', 'bag', 'friend']",3,4,"[' attends', 'ville', ' cat', ' eating']",4,4,"['attends', 'magicville', 'a', 'friend']"
79,o,The rabbit is running from the fox. The fox,is sleeping in a cave.,is trying to become friends with the rabbit.,is being domesticated.,is hunting.,4,2,2,"['cave', 'rabbit', 'domesticated', 'hunting']",2,4,"[' sleeping', ' become', ' domest', ' hunting']",2,2,"['a', 'friends', 'domesticated', 'hunting']"
80,o,The men are attending a prayer. The men,are sitting at a mosque.,studying about prayer at their school.,are on the way to the party.,eating together very happily.,1,3,2,"['mosque', 'studying', 'party', 'happily']",1,1,"[' mosque', ' studying', ' party', ' eating']",3,3,"['a', 'studying', 'party', 'eating']"
81,o,The man is walking to the cinema. The man,dislikes movies.,is eating with his data at home.,is on a date.,is learning to speak german.,3,3,3,"['movies', 'data', 'date', 'german']",3,3,"[' disl', ' data', ' date', ' g']",4,4,"['dislikes', 'data', 'a', 'german']"
82,p,The email account is being hacked. The account,has a weak password.,hacks away at the man.,coughs and hacks because it is sick.,has lots of money stored in it.,1,4,4,"['password', 'hacks', 'hacks', 'it']",4,1,"[' weak', ' hacks', ' cough', ' lots']",4,4,"['a', 'hacks', 'hacks', 'stored']"
83,o,The runner is running a race. The runner,is sleeping.,looks at his medal with glee.,is not doing so well.,enjoys a nicely carbohydrate enriched breakfast.,3,3,1,"['sleeping', 'glee', 'well', 'carbohydrate']",3,3,"[' sleeping', ' medal', ' so', ' carbohydrate']",3,3,"['sleeping', 'glee', 'well', 'carbohydrate']"
84,o,The dog is chasing the cat. The cat,is trying to find the cat food.,is sharing a meal with the dog.,is hunting a mouse.,is terrified.,4,2,2,"['food', 'dog', 'mouse', 'terrified']",2,4,"[' food', ' sharing', ' hunting', ' terrified']",1,4,"['food', 'a', 'a', 'terrified']"
85,q,The man is counting to three. The man,is at number 1.,is at number 5.,is at number 6.,is at number 10.,1,1,1,"['1', '5', '6', '10']",4,1,"[' number', ' number', ' 6', ' number']",1,4,"['at', 'at', 'at', 'at']"
86,o,The man is sharing some pasta with his date. His date,stood him up.,looks lovingly into his eyes.,is not there.,has to be postponed.,2,4,3,"['up', 'lovingly', 'there', 'postponed']",3,3,"[' stood', ' lov', ' there', ' postponed']",3,3,"['stood', 'lovingly', 'there', 'postponed']"
87,o,The man puts on his jacket. The man,is looking for food in his fridge.,pets his dog.,is trying not to freeze.,is playing frisbee with his mouth.,3,1,1,"['fridge', 'dog', 'freeze', 'frisbee']",1,1,"[' food', ' pets', ' freeze', ' fr']",1,2,"['fridge', 'pets', 'freeze', 'frisbee']"
